Name,is_repeater,RpName,DMfitb,Widthfitb,Scat,Flux,Fluence,SpInd,spRun,Fpk,Bandwidth
FRB20190303B,False,-9999,193.50698,0.000715,0.001574,9.4,42.0,-1.678,-2.56,400.2,386.50000000000006
FRB20190303C,False,-9999,1089.655,0.00176,0.002,0.8,3.46,0.5,-2.3,449.8,400.00000000000006
FRB20190303D,False,-9999,711.151,0.00081,0.001,0.59,1.17,-0.9,-5.6,400.2,304.09999999999997
FRB20190303A,True,FRB20190303A,221.667,0.00167,0.00296,0.47,2.54,63.3,-69.0,631.5,231.4000000000001
FRB20190304A,False,-9999,483.727,0.000408,0.000901,0.71,2.9,6.3,-67.3,419.4,104.5
FRB20190304B,False,-9999,470.0053,0.00033,0.000622,0.67,2.22,-1.24,-7.4,400.2,246.3
FRB20190304C,False,-9999,564.991,0.000948,0.0011,0.53,1.32,22.3,-87.0,454.9,135.00000000000006
FRB20190307A,False,-9999,355.337,0.00206,0.0025,0.0,0.0,19.7,-29.7,557.1,313.99999999999994
FRB20190307B,False,-9999,294.001,0.0019,0.0211,0.0,0.0,25.4,-25.6,656.8,313.40000000000003
FRB20190308C,False,-9999,500.519,0.0004,0.00229,0.47,4.8,15.2,-61.0,453.4,150.50000000000006
FRB20190308C,False,-9999,500.519,0.00055,0.00229,0.47,4.8,13.9,-60.5,449.0,145.50000000000006
FRB20190308B,False,-9999,180.18,0.000186,0.000134,1.11,1.39,18.6,-52.9,477.2,187.7
FRB20190308B,False,-9999,180.18,0.00052,0.000134,1.11,1.39,9.5,-37.0,455.5,185.09999999999997
FRB20190309A,False,-9999,356.9,0.000581,0.00075,0.39,0.72,12.9,-64.0,442.9,135.59999999999997
FRB20190313B,False,-9999,1191.248,0.00064,0.00444,0.67,2.74,-1.5,0.7,400.2,400.00000000000006
FRB20190313A,True,FRB20181119A,364.5,0.00186,0.0031,0.41,1.48,20.9,-16.7,747.9,284.4000000000001
FRB20190316A,False,-9999,515.9273,0.000834,0.00098,1.31,2.53,9.1,-15.5,536.1,388.00000000000006
FRB20190317A,False,-9999,1157.2595,0.00071,0.00092,0.54,1.24,9.1,-12.1,582.6,400.00000000000006
FRB20190317B,False,-9999,424.314,0.00125,0.0016,0.65,1.89,0.1,-0.1,512.6,400.00000000000006
FRB20190317C,False,-9999,598.263,0.0014,0.0234,0.43,7.8,3.4,-10.3,472.6,358.8
FRB20190317F,False,-9999,1118.109,0.0017,0.00902,1.65,26.0,1.18,-7.09,434.8,368.59999999999997
FRB20190317E,False,-9999,800.88,0.00167,0.0021,2.17,7.3,-0.2,0.5,800.2,400.00000000000006
FRB20190318A,False,-9999,419.2661,0.00093,0.00623,1.55,14.2,0.04,-3.04,402.9,400.00000000000006
